"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","334","Test Case 15: Session Cache Handling via Browser Controls","webkit","2026-05-29","passed","2026-05-29","Automation Exercise - Authentication & Session Security Suite","test2.spec.js","",""
"","361","Test Case 15: Session Cache Handling via Browser Controls","firefox","2026-05-29","passed","2026-05-29","Automation Exercise - Authentication & Session Security Suite","test2.spec.js","",""
"","991","Test Case 10: Account Enumeration Protection via Feedback Messages","firefox","2026-05-29","passed","2026-05-29","Automation Exercise - Authentication & Session Security Suite","test2.spec.js","",""
"","638","Test Case 12: Session Hijacking via Extracted Token Spoofing","firefox","2026-05-29","passed","2026-05-29","Automation Exercise - Authentication & Session Security Suite","test2.spec.js","",""
"","827","Test Case 14: HTML Injection Prevention within Text Elements","firefox","2026-05-29","passed","2026-05-29","Automation Exercise - Authentication & Session Security Suite","test2.spec.js","",""
"","402","Test Case 6: Multiple Concurrent Sessions Handling","chromium","2026-05-29","passed","2026-05-29","Automation Exercise - Authentication & Session Security Suite","test2.spec.js","",""
"","716","Test Case 2: SQL Injection (SQLi) in Login Fields","firefox","2026-05-29","passed","2026-05-29","Automation Exercise - Authentication & Session Security Suite","test2.spec.js","",""
"","3025","Test Case 5: Session Invalidation on Logout","firefox","2026-05-29","passed","2026-05-29","Automation Exercise - Authentication & Session Security Suite","test2.spec.js","",""
"","486","Test Case 8: HttpOnly Flag Enforcement on Session Tokens","chromium","2026-05-29","passed","2026-05-29","Automation Exercise - Authentication & Session Security Suite","test2.spec.js","",""
"","379","Test Case 8: HttpOnly Flag Enforcement on Session Tokens","webkit","2026-05-29","passed","2026-05-29","Automation Exercise - Authentication & Session Security Suite","test2.spec.js","",""
"","716","Test Case 4: Forced Browsing (Broken Object Level Authorization)","webkit","2026-05-29","passed","2026-05-29","Automation Exercise - Authentication & Session Security Suite","test2.spec.js","",""
"","527","Test Case 14: HTML Injection Prevention within Text Elements","chromium","2026-05-29","passed","2026-05-29","Automation Exercise - Authentication & Session Security Suite","test2.spec.js","",""
"","449","Test Case 7: Session Cookie Expiry Check","chromium","2026-05-29","passed","2026-05-29","Automation Exercise - Authentication & Session Security Suite","test2.spec.js","",""
"","863","Test Case 14: HTML Injection Prevention within Text Elements","webkit","2026-05-29","passed","2026-05-29","Automation Exercise - Authentication & Session Security Suite","test2.spec.js","",""
"","491","Test Case 2: SQL Injection (SQLi) in Login Fields","chromium","2026-05-29","passed","2026-05-29","Automation Exercise - Authentication & Session Security Suite","test2.spec.js","",""
"","181","Test Case 12: Session Hijacking via Extracted Token Spoofing","chromium","2026-05-29","passed","2026-05-29","Automation Exercise - Authentication & Session Security Suite","test2.spec.js","",""
"","3367","Test Case 5: Session Invalidation on Logout","chromium","2026-05-29","passed","2026-05-29","Automation Exercise - Authentication & Session Security Suite","test2.spec.js","",""
"","594","Test Case 6: Multiple Concurrent Sessions Handling","webkit","2026-05-29","passed","2026-05-29","Automation Exercise - Authentication & Session Security Suite","test2.spec.js","",""
"","1184","Test Case 9: Secure Cookie Attribute Deployment","firefox","2026-05-29","passed","2026-05-29","Automation Exercise - Authentication & Session Security Suite","test2.spec.js","",""
"","293","Test Case 11: Cross-Site Request Forgery (CSRF) Guardrails on State Forms","webkit","2026-05-29","passed","2026-05-29","Automation Exercise - Authentication & Session Security Suite","test2.spec.js","",""
"","311","Test Case 12: Session Hijacking via Extracted Token Spoofing","webkit","2026-05-29","passed","2026-05-29","Automation Exercise - Authentication & Session Security Suite","test2.spec.js","",""
"","567","Test Case 8: HttpOnly Flag Enforcement on Session Tokens","firefox","2026-05-29","passed","2026-05-29","Automation Exercise - Authentication & Session Security Suite","test2.spec.js","",""
"","743","Test Case 3: Sensitive Data Masking in Logs / URL Query Parameters","webkit","2026-05-29","passed","2026-05-29","Automation Exercise - Authentication & Session Security Suite","test2.spec.js","",""
"","529","Test Case 4: Forced Browsing (Broken Object Level Authorization)","firefox","2026-05-29","passed","2026-05-29","Automation Exercise - Authentication & Session Security Suite","test2.spec.js","",""
"","579","Test Case 13: XSS Script Insertion via Account Profile Data","chromium","2026-05-29","passed","2026-05-29","Automation Exercise - Authentication & Session Security Suite","test2.spec.js","",""
"","838","Test Case 2: SQL Injection (SQLi) in Login Fields","webkit","2026-05-29","passed","2026-05-29","Automation Exercise - Authentication & Session Security Suite","test2.spec.js","",""
"","4685","Test Case 5: Session Invalidation on Logout","webkit","2026-05-29","passed","2026-05-29","Automation Exercise - Authentication & Session Security Suite","test2.spec.js","",""
"","639","Test Case 7: Session Cookie Expiry Check","firefox","2026-05-29","passed","2026-05-29","Automation Exercise - Authentication & Session Security Suite","test2.spec.js","",""
"","741","Test Case 6: Multiple Concurrent Sessions Handling","firefox","2026-05-29","passed","2026-05-29","Automation Exercise - Authentication & Session Security Suite","test2.spec.js","",""
